Date,z1_AC1(kW),z1_AC2(kW),z1_AC3(kW),z1_AC4(kW),z1_Light(kW),z1_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_AC1(kW),z2_Light(kW),z2_Plug(kW),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_Light(kW),z3_Plug(kW),z4_AC1(kW),z4_Light(kW),z4_Plug(kW),z4_S1(degC),z4_S1(RH%),z4_S1(lux),z5_AC1(kW),z5_Light(kW),z5_Plug(kW),z5_S1(degC),z5_S1(RH%),z5_S1(lux)
2018-08-20 11:30:00,0.0,0.0,0.0,1.4093333333333333,4.7876666666666665,0.6536666666666666,25.323666666666668,57.160999999999994,39.03333333333333,1.1486666666666667,6.337666666666666,1.031,24.634615384615383,56.34269230769231,76.53846153846153,0.8853333333333333,0.5066666666666666,0.8270000000000001,2.8306666666666667,0.6386666666666667,23.692999999999998,60.23066666666667,33.766666666666666,0.4746666666666666,2.1013333333333333,0.8283333333333334,23.565,66.98892857142857,38.17857142857143
2018-08-20 12:00:00,0.0,0.0,0.0,0.07,4.216666666666667,0.7923333333333333,27.426,56.11533333333333,36.5,0.0,6.423333333333333,0.9433333333333334,27.07633333333333,55.965,73.56666666666666,1.296,0.508,0.0,2.9363333333333332,0.5243333333333333,26.34466666666667,59.56666666666667,34.0,0.0,2.1790000000000003,0.828,26.223333333333336,69.45266666666666,39.13333333333333
2018-08-20 12:30:00,0.0,0.0,0.0,0.07,3.916333333333333,0.7443333333333333,28.314642857142854,57.76571428571429,40.964285714285715,0.0,6.405,1.047,28.14,55.849000000000004,74.0,1.1293333333333335,0.4843333333333334,0.0,2.941666666666667,0.534,27.242666666666665,63.098333333333336,33.6,0.0,2.1823333333333332,0.9930000000000001,26.994666666666667,68.59733333333334,38.93333333333333
2018-08-20 13:00:00,0.0,0.0,0.0,27.83966666666667,4.718333333333334,0.779,27.598333333333336,58.87266666666667,40.06666666666667,25.290000000000003,6.3,1.076,26.933,54.774,75.06666666666666,0.964,0.48666666666666664,32.274,2.8476666666666666,0.654,24.874333333333333,58.975,32.5,16.203,2.1123333333333334,0.9566666666666668,24.645333333333333,61.52166666666667,39.333333333333336
2018-08-20 13:30:00,0.0,0.0,0.0,29.775,4.782333333333333,0.6696666666666666,25.465666666666667,54.401666666666664,39.666666666666664,25.33833333333333,6.304,1.036,24.468,50.92833333333333,78.16666666666667,0.7403333333333334,0.5153333333333333,21.176666666666666,2.8489999999999998,0.7843333333333333,21.541666666666668,59.97966666666666,32.666666666666664,10.344666666666667,2.115,0.9106666666666666,22.175666666666665,61.331,39.96666666666667
2018-08-20 14:00:00,0.0,0.0,0.0,29.683666666666667,4.792,0.6246666666666666,24.413666666666664,55.13666666666666,36.56666666666667,21.369333333333334,5.974666666666667,0.993,23.595666666666666,52.157000000000004,78.63333333333334,0.9606666666666667,0.517,17.978,2.8526666666666665,0.7336666666666667,22.235000000000003,61.45107142857143,32.285714285714285,10.336,2.118666666666667,0.9456666666666667,22.029,62.23766666666667,38.56666666666667
2018-08-20 14:30:00,0.0,0.0,0.0,29.458666666666666,4.801666666666667,0.6566666666666666,24.240384615384617,55.07576923076923,36.03846153846154,19.688666666666666,5.835666666666667,1.0919999999999999,23.391666666666666,53.221333333333334,76.96666666666667,0.7206666666666667,0.518,17.870333333333335,2.856666666666667,0.7376666666666666,22.447,60.62233333333334,32.166666666666664,10.305666666666667,2.1220000000000003,1.0396666666666667,21.78607142857143,61.88321428571429,38.25
2018-08-20 15:00:00,0.0,0.0,0.0,22.511000000000003,4.8020000000000005,0.6476666666666666,24.152333333333335,56.410333333333334,35.53333333333333,17.349,5.829,1.0833333333333333,23.287916666666664,54.528333333333336,75.20833333333333,0.8513333333333333,0.52,17.744000000000003,2.905666666666667,0.7226666666666667,22.179666666666666,60.370666666666665,32.3,10.179666666666666,2.130666666666667,1.083,21.720714285714283,61.37928571428572,36.857142857142854
2018-08-20 15:30:00,0.0,0.0,0.0,26.078333333333333,4.923333333333333,0.6516666666666667,24.282666666666668,55.32066666666667,35.266666666666666,17.265333333333334,5.887666666666666,1.0836666666666666,23.365000000000002,55.40233333333333,73.86666666666666,0.727,0.52,17.592333333333332,2.9743333333333335,0.7396666666666667,21.834666666666667,60.24466666666667,32.7,8.618666666666666,2.1430000000000002,0.9836666666666666,21.62366666666667,63.25266666666666,34.6
2018-08-20 16:00:00,0.0,0.0,0.0,24.247333333333334,5.054333333333333,0.628,24.31433333333333,54.79566666666666,35.166666666666664,16.472666666666665,6.345,0.8726666666666667,23.35636363636364,56.09227272727273,73.77272727272727,1.322,0.5506666666666666,17.536333333333335,2.9893333333333336,0.6236666666666667,21.704333333333334,60.035,31.466666666666665,7.85,2.154333333333333,0.9523333333333334,21.55366666666667,63.826,33.5
