Date,z1_AC1(kW),z1_Light(kW),z1_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_AC1(kW),z2_Light(kW),z2_Plug(kW),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_Light(kW),z3_Plug(kW),z4_AC1(kW),z4_AC2(kW),z4_AC3(kW),z4_AC4(kW),z4_Light(kW),z4_Plug(kW),z4_S1(degC),z4_S1(RH%),z4_S1(lux),z5_AC1(kW),z5_Light(kW),z5_Plug(kW),z5_S1(degC),z5_S1(RH%),z5_S1(lux)
2018-10-28 17:00:00,0.0,2.314,0.211,26.86,61.13058823529412,0.0,0.0,1.86,0.13899999999999998,26.806956521739128,60.79217391304348,23.08695652173913,1.5906666666666667,0.26,0.0,0.0,0.0,0.0,2.332333333333333,0.14633333333333332,26.209999999999997,64.994,0.0,0.0,0.8420000000000001,0.04566666666666667,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 17:30:00,0.0,0.6349999999999999,0.26633333333333337,26.86,61.13058823529412,0.0,0.0,1.86,0.123,26.806956521739128,60.79217391304348,23.08695652173913,1.3453333333333333,0.26,0.0,0.0,0.0,0.0,0.9356666666666666,0.129,26.209999999999997,64.994,0.0,0.0,0.3506666666666666,0.036333333333333336,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 18:00:00,0.0,0.0,0.207,26.86,61.13058823529412,0.0,0.0,1.8616666666666668,0.18866666666666668,26.806956521739128,60.79217391304348,23.08695652173913,1.0063333333333333,0.26,0.0,0.0,0.0,0.0,0.0,0.09466666666666666,26.209999999999997,64.994,0.0,0.0,0.0,0.041,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 18:30:00,0.0,0.0,0.20266666666666666,26.86,61.13058823529412,0.0,0.0,1.8583333333333334,0.08866666666666667,26.806956521739128,60.79217391304348,23.08695652173913,1.108,0.26,0.0,0.0,0.0,0.0,0.0,0.09633333333333334,26.209999999999997,64.994,0.0,0.0,0.0,0.04666666666666667,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 19:00:00,0.0,0.0,0.18966666666666668,26.86,61.13058823529412,0.0,0.0,1.9436666666666667,0.234,26.806956521739128,60.79217391304348,23.08695652173913,1.102,0.26,0.0,0.0,0.0,0.0,0.0,0.1,26.209999999999997,64.994,0.0,0.0,0.0,0.03933333333333334,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 19:30:00,0.0,0.0,0.26,26.86,61.13058823529412,0.0,0.0,1.9589999999999999,0.14966666666666667,26.806956521739128,60.79217391304348,23.08695652173913,1.1163333333333334,0.26,0.0,0.0,0.0,0.0,0.0,0.099,26.209999999999997,64.994,0.0,0.0,0.0,0.036000000000000004,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 20:00:00,0.0,0.0,0.12866666666666665,26.86,61.13058823529412,0.0,0.0,1.9693333333333334,0.16699999999999998,26.806956521739128,60.79217391304348,23.08695652173913,1.0626666666666666,0.26,0.0,0.0,0.0,0.0,0.0,0.10166666666666666,26.209999999999997,64.994,0.0,0.0,0.0,0.04700000000000001,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 20:30:00,0.0,0.0,0.262,26.86,61.13058823529412,0.0,0.0,1.9846666666666666,0.215,26.806956521739128,60.79217391304348,23.08695652173913,1.1593333333333333,0.26,0.0,0.0,0.0,0.0,0.0,0.096,26.209999999999997,64.994,0.0,0.0,0.0,0.046000000000000006,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 21:00:00,0.0,0.0,0.1993333333333333,26.86,61.13058823529412,0.0,0.0,2.0,0.08166666666666668,26.806956521739128,60.79217391304348,23.08695652173913,1.068,0.26,0.0,0.0,0.0,0.0,0.0,0.07166666666666667,26.209999999999997,64.994,0.0,0.0,0.0,0.046000000000000006,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 21:30:00,0.0,0.0,0.25666666666666665,26.86,61.13058823529412,0.0,0.0,0.36633333333333334,0.14866666666666667,26.806956521739128,60.79217391304348,23.08695652173913,0.21,0.26,0.0,0.0,0.0,0.0,0.0,0.060000000000000005,26.209999999999997,64.994,0.0,0.0,0.0,0.028000000000000004,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 22:00:00,0.0,0.0,0.127,26.86,61.13058823529412,0.0,0.0,0.01,0.04066666666666666,26.806956521739128,60.79217391304348,23.08695652173913,0.17433333333333334,0.26,0.0,0.0,0.0,0.0,0.0,0.06066666666666667,26.209999999999997,64.994,0.0,0.0,0.0,0.04566666666666667,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 22:30:00,0.0,0.0,0.25566666666666665,26.86,61.13058823529412,0.0,0.0,0.01,0.09533333333333334,26.806956521739128,60.79217391304348,23.08695652173913,0.05266666666666667,0.26,0.0,0.0,0.0,0.0,0.0,0.054000000000000006,26.209999999999997,64.994,0.0,0.0,0.0,0.046000000000000006,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 23:00:00,0.0,0.0,0.19366666666666665,26.86,61.13058823529412,0.0,0.0,0.01,0.13166666666666668,26.806956521739128,60.79217391304348,23.08695652173913,0.018333333333333333,0.26,0.0,0.0,0.0,0.0,0.0,0.056,26.209999999999997,64.994,0.0,0.0,0.0,0.04466666666666667,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 23:30:00,0.0,0.0,0.17766666666666667,26.86,61.13058823529412,0.0,0.0,0.01,0.15333333333333335,26.806956521739128,60.79217391304348,23.08695652173913,0.10200000000000001,0.26,0.0,0.0,0.0,0.0,0.0,0.058666666666666666,26.209999999999997,64.994,0.0,0.0,0.0,0.029333333333333333,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-29 00:00:00,0.0,0.0,0.20199999999999999,26.86,61.13058823529412,0.0,0.0,0.009666666666666665,0.16333333333333336,26.806956521739128,60.79217391304348,23.08695652173913,0.018666666666666668,0.26,0.0,0.0,0.0,0.0,0.0,0.060000000000000005,26.209999999999997,64.994,0.0,0.0,0.0,0.04566666666666667,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-29 00:30:00,0.0,0.0,0.24133333333333334,26.86,61.13058823529412,0.0,0.0,0.01,0.14400000000000002,26.806956521739128,60.79217391304348,23.08695652173913,0.10266666666666667,0.26,0.0,0.0,0.0,0.0,0.0,0.057666666666666665,26.209999999999997,64.994,0.0,0.0,0.0,0.042666666666666665,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-29 01:00:00,0.0,0.0,0.13633333333333333,26.86,61.13058823529412,0.0,0.0,0.01,0.13566666666666669,26.806956521739128,60.79217391304348,23.08695652173913,0.018333333333333333,0.26,0.0,0.0,0.0,0.0,0.0,0.054000000000000006,26.209999999999997,64.994,0.0,0.0,0.0,0.03133333333333334,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-29 01:30:00,0.0,0.0,0.24800000000000003,26.86,61.13058823529412,0.0,0.0,0.01,0.13033333333333333,26.806956521739128,60.79217391304348,23.08695652173913,0.111,0.26,0.0,0.0,0.0,0.0,0.0,0.059333333333333335,26.209999999999997,64.994,0.0,0.0,0.0,0.046000000000000006,24.914666666666665,64.68066666666667,59.13333333333333
