timestamp [dd/mm/yyyy HH:MM],ki [%],o1_1 [%],o1_2 [%],o2 [%],o3 [%],o4 [%],mr [%]
2013-11-25 05:00:00,27.225,28.15,31.0,30.2,32.55,31.5,31.4
2013-11-25 06:00:00,26.35,27.5,30.55,30.025,32.625,31.4,31.4
2013-11-25 07:00:00,24.55,25.95,27.375,27.025,32.2,29.849999999999998,31.4
2013-11-25 08:00:00,24.325,25.85,27.525,25.9,31.675,29.125,29.75
2013-11-25 09:00:00,26.25,27.225,29.125,26.475,31.725,30.15,25.1
2013-11-25 10:00:00,26.75,27.125,29.4,27.2,30.950000000000003,28.95,24.875
2013-11-25 11:00:00,28.325000000000003,28.675,30.325,28.7,31.224999999999998,30.1,24.45
2013-11-25 12:00:00,28.35,27.625,29.425,28.775000000000002,31.75,27.9,24.325
2013-11-25 13:00:00,27.7,27.75,29.875,28.925,30.9,29.125,23.825
2013-11-25 14:00:00,26.35,26.650000000000002,28.575,27.95,30.6,28.775,23.775
2013-11-25 15:00:00,27.025000000000002,27.35,29.8,28.425,30.375,29.7,23.675
2013-11-25 16:00:00,26.950000000000003,27.725,30.5,28.725,30.575000000000003,29.8,24.200000000000003
2013-11-25 17:00:00,27.125,27.75,30.45,28.575,31.275,29.85,24.4
2013-11-25 18:00:00,27.5,27.35,29.925,28.025,31.275,29.375,25.25
2013-11-25 19:00:00,26.25,26.875,28.4,26.9,31.0,29.8,25.425
2013-11-25 20:00:00,25.8,26.575,28.875,26.325,30.775,29.8,25.3
2013-11-25 21:00:00,25.625,26.625,28.9,26.275,30.625,29.275,25.45
2013-11-25 22:00:00,25.575,26.475,28.45,26.225,30.575,29.0,25.5
2013-11-25 23:00:00,25.1,26.6,28.1,25.925,30.325,29.0,25.375
2013-11-26 00:00:00,25.200000000000003,26.725,28.425,26.125,30.425,29.0,25.5
2013-11-26 01:00:00,25.0,26.775,28.4,26.275,30.15,28.8,25.5
2013-11-26 02:00:00,24.95,26.425,28.275,26.7,29.95,29.25,25.5
2013-11-26 03:00:00,25.0,26.7,28.575,26.45,29.9,29.299999999999997,25.5
2013-11-26 04:00:00,24.975,26.975,28.675,26.575,30.05,29.15,25.5
2013-11-26 05:00:00,24.975,26.775,28.325,26.7,30.1,29.0,25.5
2013-11-26 06:00:00,25.225,26.7,28.325,26.325,29.7,28.825,25.5
2013-11-26 07:00:00,24.1,25.35,27.2,25.825,29.6,28.4,25.025
2013-11-26 08:00:00,24.3,25.925,27.3,24.975,29.675,28.3,24.125
2013-11-26 09:00:00,26.174999999999997,26.05,28.25,26.5,30.175,28.975,23.9
2013-11-26 10:00:00,27.875,27.375,29.725,27.5,30.4,29.675,23.9
2013-11-26 11:00:00,28.55,28.3,30.25,29.0,31.575,30.05,24.175
2013-11-26 12:00:00,29.275,28.35,30.875,28.95,32.025,30.125,24.7
2013-11-26 13:00:00,28.075000000000003,28.15,30.975,28.0,32.6,29.85,24.575
2013-11-26 14:00:00,26.55,25.9,29.55,26.475,32.225,28.55,24.6
2013-11-26 15:00:00,27.275,27.35,30.025,27.35,32.025,28.825,24.55
2013-11-26 16:00:00,28.55,28.75,31.2,28.95,32.05,29.349999999999998,24.95
2013-11-26 17:00:00,29.125,29.25,31.15,28.5,32.2,29.9,25.225
2013-11-26 18:00:00,28.95,28.8,30.8,28.35,31.85,30.325,25.1
2013-11-26 19:00:00,27.875,28.375,30.925,27.325,31.8,30.125,24.7
2013-11-26 20:00:00,27.175,27.825,30.375,26.95,31.3,29.15,24.6
2013-11-26 21:00:00,26.425,27.7,29.725,26.15,30.975,29.6,24.75
2013-11-26 22:00:00,26.125,27.1,29.0,25.65,30.5,29.675,24.675
2013-11-26 23:00:00,26.025,26.9,29.325,25.925,30.5,29.1,24.325000000000003
2013-11-27 00:00:00,25.9,26.95,29.275,25.725,29.675,28.75,23.825
2013-11-27 01:00:00,25.55,26.75,28.65,25.65,29.05,28.6,23.5
2013-11-27 02:00:00,25.375,26.525,29.05,25.45,29.25,28.55,23.5
2013-11-27 03:00:00,25.075,26.25,28.2,25.175,29.1,28.5,23.5
2013-11-27 04:00:00,24.975,26.15,28.05,25.5,28.6,28.25,23.5
2013-11-27 05:00:00,24.5,25.9,28.125,25.025,28.8,27.75,23.5
2013-11-27 06:00:00,24.675,25.975,28.15,24.55,28.825,27.85,23.5
2013-11-27 07:00:00,23.275,24.325,26.0,23.75,28.6,26.6,23.35
2013-11-27 08:00:00,23.4,24.925,26.725,23.7,28.625,27.175,22.575
2013-11-27 09:00:00,25.8,26.05,28.1,25.65,28.45,27.825000000000003,22.8
2013-11-27 10:00:00,27.9,27.25,28.85,27.425,28.625,28.25,23.05
2013-11-27 11:00:00,29.475,27.375,29.075,28.9,30.275,28.625,24.175
2013-11-27 12:00:00,31.4,27.775,29.125,28.5,31.349999999999998,29.425,24.7
2013-11-27 13:00:00,30.475,27.05,29.775,29.25,31.525,28.45,24.95
2013-11-27 14:00:00,27.15,24.55,28.075,27.35,31.625,27.575,24.85
2013-11-27 15:00:00,26.6,26.75,29.125,27.175,31.125,28.6,24.525
2013-11-27 16:00:00,26.4,26.575,28.95,26.675,30.55,28.725,26.325
2013-11-27 17:00:00,25.9,26.7,28.225,26.2,30.174999999999997,28.625,26.725
2013-11-27 18:00:00,25.55,26.25,28.275,25.875,29.925,28.5,25.125
2013-11-27 19:00:00,24.775,25.9,27.6,25.425,29.825,28.075,24.25
2013-11-27 20:00:00,24.6,25.1,27.75,25.15,29.15,28.175,23.6
2013-11-27 21:00:00,23.975,25.35,27.35,24.575,28.975,28.5,23.125
2013-11-27 22:00:00,23.799999999999997,25.125,26.725,24.825,28.675,27.85,22.8
2013-11-27 23:00:00,23.9,24.825,26.575,24.725,28.6,27.35,22.45
2013-11-28 00:00:00,23.45,24.425,27.1,24.5,28.0,27.575,22.375
2013-11-28 01:00:00,22.875,24.3,27.05,24.175,28.175,27.625,22.35
2013-11-28 02:00:00,22.225,23.875,26.0,24.075,27.875,27.2,22.3
2013-11-28 03:00:00,22.0,23.675,25.450000000000003,23.925,27.675,26.3,21.975
2013-11-28 04:00:00,22.225,23.625,25.575,23.4,27.55,26.525,21.700000000000003
2013-11-28 05:00:00,21.975,23.65,26.025,23.5,27.275000000000002,26.5,21.725
2013-11-28 06:00:00,21.8,23.2,25.75,23.35,26.85,26.7,21.575000000000003
2013-11-28 07:00:00,21.8,23.35,25.45,22.9,26.85,26.275,21.2
2013-11-28 08:00:00,22.4,23.5,26.175,22.9,26.950000000000003,25.775,21.95
2013-11-28 09:00:00,22.9,23.675,25.275,23.575,27.15,26.075,23.3
2013-11-28 10:00:00,23.25,23.0,24.4,22.7,26.8,25.6,23.525
2013-11-28 11:00:00,23.675,23.125,25.5,23.5,27.175,25.5,26.625
2013-11-28 12:00:00,21.65,22.65,25.4,23.475,27.625,24.55,25.95
2013-11-28 13:00:00,24.5,23.85,25.75,23.925,28.025,26.275,24.9
2013-11-28 14:00:00,24.825,24.625,26.625,23.9,27.3,26.55,23.275
2013-11-28 15:00:00,25.675,25.4,27.175,24.025,27.3,26.925,23.5
2013-11-28 16:00:00,26.35,25.35,27.675,24.4,27.5,27.475,23.175
2013-11-28 17:00:00,25.5,25.05,27.075,24.15,27.6,27.5,22.8
2013-11-28 18:00:00,24.675,24.6,27.175,24.025,27.8,27.5,22.8
2013-11-28 19:00:00,23.2,24.125,26.875,23.775,27.8,27.5,22.8
2013-11-28 20:00:00,22.5,24.05,25.825,23.075,27.8,27.5,22.8
2013-11-28 21:00:00,22.125,24.25,26.549999999999997,23.1,27.8,26.925,22.8
2013-11-28 22:00:00,22.725,23.675,26.175,23.05,27.8,26.3,22.8
2013-11-28 23:00:00,22.424999999999997,23.799999999999997,25.775,23.65,27.8,26.3,22.8
2013-11-29 00:00:00,22.375,23.924999999999997,26.275,23.325,26.7,25.6,22.8
2013-11-29 01:00:00,22.6,24.3,26.475,23.475,26.7,25.625,22.8
2013-11-29 02:00:00,22.45,24.1,26.125,23.25,26.7,26.175,22.8
2013-11-29 03:00:00,23.025000000000002,24.4,25.675,23.15,26.7,26.3,22.8
2013-11-29 04:00:00,22.65,23.9,26.35,23.0,26.7,25.700000000000003,22.8
2013-11-29 05:00:00,22.225,23.75,26.4,23.325,26.7,25.1,22.8
2013-11-29 06:00:00,22.4,24.15,25.9,23.025,26.7,25.725,22.8
2013-11-29 07:00:00,22.4,24.55,26.225,23.400000000000002,26.375,25.45,22.725
2013-11-29 08:00:00,22.975,24.475,26.5,23.725,27.175,25.9,23.225
2013-11-29 09:00:00,24.75,25.225,27.05,24.900000000000002,27.45,25.95,25.15
2013-11-29 10:00:00,26.575,26.5,28.225,26.15,28.775,27.5,24.525
2013-11-29 11:00:00,27.725,26.95,28.75,27.175,29.6,27.85,23.9
2013-11-29 12:00:00,27.575,26.825,28.825000000000003,27.375,30.3,28.2,24.4
2013-11-29 13:00:00,27.225,27.775,29.35,27.925,29.95,28.2,26.0
2013-11-29 14:00:00,27.200000000000003,27.8,29.925,28.5,29.65,28.775,26.175
2013-11-29 15:00:00,27.225,27.525,29.3,28.5,29.299999999999997,29.4,26.025
2013-11-29 16:00:00,27.1,27.775,29.125,28.225,29.05,29.15,26.125
2013-11-29 17:00:00,26.925,27.625,29.125,27.85,29.349999999999998,28.5,25.5
2013-11-29 18:00:00,26.65,27.65,28.775,27.625,28.775,28.375,25.775
2013-11-29 19:00:00,25.675,27.375,28.875,27.225,28.8,28.875,25.25
2013-11-29 20:00:00,25.175,26.775,28.325,26.95,28.575,28.725,25.625
2013-11-29 21:00:00,25.200000000000003,26.3,27.9,26.15,28.9,28.35,25.3
2013-11-29 22:00:00,24.825,26.549999999999997,28.175,25.9,28.475,28.3,25.3
